author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/302444972/;Апрелевка;sale;flat;10;14;5;166.3;75000000;-1;-1;-1;-1;-1;118,1 м²;16,6 м²;+79670580817;Аэропорт;Петровско-Разумовская аллея;10К3;Петровский Парк;
Андор;developer;https://nn.cian.ru/sale/flat/295996555/;Апрелевка;sale;flat;5;6;5;155.6;61460000;2026;-1;-1;-1;Черновая;114,6 м²;-1;+78312313506;Нижегородский;;;Горьковская;Приоритет ЖК
