author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Этажи Тюмень;real_estate_agent;https://tyumen.cian.ru/sale/flat/304638172/;Апрелевка;sale;flat;5;10;5;220.9;28000000;2007;-1;-1;-1;-1;-1;30 м²;+79129915778;мкр. Городская администрация; Герцена;82/1;;
Инвестор;official_representative;https://tomsk.cian.ru/sale/flat/306283507/;Апрелевка;sale;flat;5;5;5;173.3;28000000;-1;-1;-1;-1;-1;-1;25 м²;+79138514243;Ленинский; Карла Маркса;3;;
