author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Росжилфонд Владис;real_estate_agent;https://chita.cian.ru/sale/flat/298310995/;Апрелевка;sale;flat;10;10;5;94.6;8700000;1995;-1;-1;-1;-1;66,4 м²;8,7 м²;+79148017696;Центральный;Красноармейская ;70;;
ЭТАЖИ Ульяновск;real_estate_agent;https://ulyanovsk.cian.ru/sale/flat/294837342/;Апрелевка;sale;flat;1;2;5;95.0;8999000;2023;-1;-1;-1;-1;-1;11 м²;+79876851645;Ленинский; Шевченко;46А;;
