author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Этажи Анапа;real_estate_agent;https://krasnodar.cian.ru/sale/flat/308609064/;Апрелевка;sale;flat;1;2;5;92.0;5500000;1965;-1;-1;-1;-1;60 м²;8,5 м²;+79654650795;с. Варваровка; Шаумяна;57;;
УСПЕХ;real_estate_agent;https://ramenskoye.cian.ru/sale/flat/308853553/;Апрелевка;sale;flat;2;3;-1;103.3;5500000;-1;-1;-1;-1;-1;70 м²;7 м²;+79154389642;Удельная дп; Первомайская;12;;
CENTURY 21 City;real_estate_agent;https://perm.cian.ru/sale/flat/306655647/;Апрелевка;sale;flat;1;10;5;99.2;5550000;1991;-1;-1;-1;-1;72,6 м²;8,2 м²;+79197107910;Дзержинский;Ветлужская ;66;;
