author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Метриум Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/305920240/;Апрелевка;sale;flat;4;6;5;222.8;245080000;-1;-1;-1;-1;-1;-1;20 м²;+79165760980;Раменки;Минская ;2Вк3;Минская;Снегири Эко
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300539813/;Апрелевка;sale;flat;2;7;5;146.0;185000000;1934;-1;-1;-1;-1;105 м²;10 м²;+79660629135;Пресненский;Большой Патриарший переулок;8С1;Маяковская;
Агентство недвижимости Сергея Галлера;real_estate_agent;https://spb.cian.ru/sale/flat/308234044/;Апрелевка;sale;flat;3;6;5;178.5;73000000;1914;-1;-1;-1;-1;69,6 м²;52,4 м²;+79119698103;Центральный;Тверская ;20;Чернышевская;
