author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
;;https://balashikha.cian.ru/sale/flat/308961650/;Балашиха;sale;flat;5;17;4;65.4;11549640;2025;-1;Монолитно-кирпичный, монолитный;-1;Чистовая;-1;-1;+78005116552;;;к406с1;Железнодорожная;Героев
ID 15578369;unknown;https://balashikha.cian.ru/sale/flat/308910069/;Балашиха;sale;flat;4;4;4;145.2;19900000;2015;-1;-1;-1;-1;91,1 м²;22 м²;+79660560411;; Соловьева;5к1;Кучино;Леоновский парк
