author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
А101;developer;https://www.cian.ru/sale/flat/306744209/;Москва;sale;flat;2;9;1;36.4;9686331;2025;-1;-1;-1;Без отделки;12,9 м²;12 м²;+74951374415;;;6.1.1;Новомосковская;Дзен-кварталы ЖК
ID 112641845;unknown;https://www.cian.ru/sale/flat/302452202/;Москва;sale;flat;9;10;1;38.3;9700000;2007;-1;-1;-1;-1;17,9 м²;8,7 м²;+79660629147;Южное Бутово;Остафьевская ;8к2;Бунинская аллея;
А101;developer;https://www.cian.ru/sale/flat/306737409/;Москва;sale;flat;10;11;1;33.5;9698652;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;14,6 м²;9,4 м²;+74951379021;;м. Бунинская аллея;;Бунинская аллея;Скандинавия
А101;developer;https://www.cian.ru/sale/flat/308314031/;Москва;sale;flat;7;13;1;33.5;9722035;2026;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;12,1 м²;9,5 м²;+74951379021;;;18.1.4;Бунинская аллея;Скандинавия ЖК
ПИК;developer;https://www.cian.ru/sale/flat/305378646/;Москва;sale;flat;32;33;1;34.3;9846706;2025;-1;Панельный, монолитный;-1;Чистовая;14 м²;10,5 м²;+74951387148;Люблино;14.1;14.1;Братиславская;Люблинский парк ЖК
