author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Елизавета Трушина;realtor;https://chita.cian.ru/sale/flat/307059163/;Апрелевка;sale;flat;3;3;3;138.6;17000000;2003;-1;-1;-1;-1;-1;45 м²;+79161832717;Ингодинский;Ингодинская ;8;;
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308681419/;Апрелевка;sale;flat;12;25;3;76.0;49000000;-1;-1;-1;-1;-1;-1;9 м²;+79670580817;Очаково-Матвеевское;Нежинская ;5к2;Матвеевская;Городские резиденции SPIRES
