author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
БРОКЕРЫ;real_estate_agent;https://sevastopol.cian.ru/sale/flat/305287645/;Апрелевка;sale;flat;3;10;-1;41.7;8990000;2015;-1;-1;-1;-1;30,6 м²;6 м²;+79886041365;Гагаринский; Парковая;11;;
Алина Бурова;realtor;https://www.cian.ru/sale/flat/308869351/;Апрелевка;sale;flat;3;6;-1;40.0;8900000;2019;-1;-1;-1;-1;24 м²;10 м²;+79892033948;Марьино; Перерва;16;Перерва;Апарт-комплекс 16 Уровень
Экотон;real_estate_agent;https://spb.cian.ru/sale/flat/302847473/;Апрелевка;sale;flat;3;10;-1;33.5;9000000;2022;-1;-1;-1;-1;22 м²;5 м²;+79812734280;Василеостровский;проспект Средний Васильевского острова;87к3;Горный институт;Клубные апартаменты Next
Пальмира;real_estate_agent;https://spb.cian.ru/sale/flat/295416038/;Апрелевка;sale;flat;5;11;-1;30.81;9000000;2022;-1;-1;-1;-1;21 м²;5 м²;+79118414487;Василеостровский;набережная Макарова;58с1;Приморская;Docklands 2
AVA;developer;https://sochi.cian.ru/sale/flat/302766473/;Апрелевка;sale;flat;10;19;1;23.24;10464972;2025;-1;-1;-1;Без отделки;12,6 м²;2,9 м²;+78612057020;Хостинский;;1;;Кислород ЖК
