author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Этажи Москва;real_estate_agent;https://balashikha.cian.ru/sale/flat/302544675/;Балашиха;sale;flat;1;24;1;26.0;4790000;2020;-1;-1;-1;-1;-1;5 м²;+79654309496;; Лукино;53А;Щёлковская;Новая Алексеевская роща
Абсолют Недвижимость;representative_developer;https://balashikha.cian.ru/sale/flat/304783400/;Балашиха;sale;flat;15;20;1;20.4;4290706;2022;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, черновая, чистовая;10,4 м²;-1;+74951347252;; Романычева;5;Некрасовка;Новоград Павлино
