author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/298050052/;Апрелевка;sale;flat;17;17;1;20.34;7564446;2025;-1;Монолитный;-1;Без отделки, предчистовая, черновая;8,9 м²;5 м²;+78122133747;Василеостровский;Гавань;;Приморская;Морская Набережная ЖК
TOP GRADE ESTATE;real_estate_agent;https://spb.cian.ru/sale/flat/304795197/;Апрелевка;sale;flat;13;18;1;23.84;5990000;2023;-1;-1;-1;-1;15,8 м²;5 м²;+79819216769;Василеостровский; Вадима Шефнера;4;Приморская;Магеллан (Гавань Капитанов)
Парадайс;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/306604140/;Апрелевка;sale;flat;3;3;1;26.0;3800000;2014;-1;-1;-1;-1;12,6 м²;5,6 м²;+79164926506;;;;;
Сармат;developer;https://krasnodar.cian.ru/sale/flat/307540416/;Апрелевка;sale;flat;11;16;1;25.2;3780000;2024;-1;Монолитно-кирпичный;-1;Предчистовая, черновая;-1;-1;+78612058407;Прикубанский; Западный обход;65/1;;Cармат
RED;real_estate_agent;https://www.cian.ru/sale/flat/303682102/;Апрелевка;sale;flat;2;15;-1;31.9;11758000;2016;-1;-1;-1;-1;10 м²;15 м²;+79629635912;Хорошевский;Ходынский бульвар;2;ЦСКА;Лайнер
ID 47745921;homeowner;https://spb.cian.ru/sale/flat/308861954/;Апрелевка;sale;flat;13;14;1;25.78;5600000;2024;-1;-1;-1;Чистовая;21,7 м²;4 м²;+79681897477;Красногвардейский;проспект Энергетиков;8к2;Ладожская;Ladozhsky AVENIR
Основа;developer;https://www.cian.ru/sale/flat/286250324/;Апрелевка;sale;flat;6;19;-1;33.7;28308000;2024;-1;Монолитно-кирпичный;-1;Чистовая;14,3 м²;10 м²;+74951465137;Красносельский;проспект Академика Сахарова;7;Красные ворота;RED7
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/303918727/;Апрелевка;sale;flat;22;29;1;32.8;16850000;2025;-1;-1;-1;Чистовая;13,6 м²;5,8 м²;+79057190310;Нагатино-Садовники;Варшавское шоссе;37Ак3;Нагатинская;Rotterdam
