author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308231760/;Апрелевка;sale;flat;31;42;2;71.0;41000000;2023;-1;-1;-1;-1;60 м²;6 м²;+79854040807;Котловка;Севастопольский проспект;22А;Крымская;Eniteo
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307652861/;Апрелевка;sale;flat;2;6;2;75.0;42000000;-1;-1;-1;-1;-1;50 м²;15 м²;+79647926672;Хамовники;Комсомольский проспект;9А;Парк Культуры;Николаевский дом
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/304734283/;Апрелевка;sale;flat;38;44;2;49.5;42500000;2018;-1;-1;-1;-1;32 м²;7 м²;+79031473833;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
Адресат;real_estate_agent;https://volgograd.cian.ru/sale/flat/307875501/;Апрелевка;sale;flat;4;5;2;46.2;3700000;-1;-1;-1;-1;-1;21,8 м²;6,3 м²;+79610873294;Краснооктябрьский;проспект Металлургов;31;;
Адресат;real_estate_agent;https://volgograd.cian.ru/sale/flat/307671939/;Апрелевка;sale;flat;3;5;2;43.1;3700000;-1;-1;-1;-1;-1;32 м²;6 м²;+79178414219;Кировский; Одоевского;82;;
