author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/308554158/;Апрелевка;sale;flat;6;6;2;62.8;62000000;2013;-1;-1;-1;-1;40 м²;10 м²;+79896035005;Хамовники;Комсомольский проспект;9А;Парк Культуры;Николаевский дом
VEREN GROUP;developer;https://nn.cian.ru/sale/flat/307110200/;Апрелевка;sale;flat;2;17;2;70.91;18374782;2026;-1;Монолитно-кирпичный;-1;Без отделки;33,2 м²;23,7 м²;+78312341924;Нижегородский;;;;Верен Плейс Одесская ЖК
Неометрия;developer;https://krasnodar.cian.ru/sale/flat/302556231/;Апрелевка;sale;flat;10;15;2;50.0;7495000;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;26,4 м²;10,9 м²;+78612058357;Прикубанский; Даниила Смоляна;71;;Южане
ID 33383699;realtor;https://krasnodar.cian.ru/sale/flat/300119919/;Апрелевка;sale;flat;5;12;2;46.0;4499000;-1;-1;-1;-1;-1;26 м²;8 м²;+79886665071;;;;;
Магазин новостроек;representative_developer;https://krasnodar.cian.ru/sale/flat/306495763/;Апрелевка;sale;flat;2;8;2;34.01;3781912;2024;-1;-1;-1;Чистовая;-1;14,1 м²;+78612059644;;;;;Молодежный 2
