author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Юника НН;developer;https://nn.cian.ru/sale/flat/295756026/;Апрелевка;sale;flat;1;9;2;50.0;14248833;2026;-1;Монолитно-кирпичный;-1;Предчистовая;25,7 м²;11,5 м²;+78312313571;Советский;;;Горьковская;Резиденция ЖК
Гамма;developer;https://anapa.cian.ru/sale/flat/285583394/;Апрелевка;sale;flat;13;20;2;61.43;14128900;2026;-1;Монолитно-кирпичный;-1;Предчистовая;-1;-1;+78612058359;Анапа;Крестьянская ;48;;Центральный
Lange and Smith;real_estate_agent;https://spb.cian.ru/sale/flat/308614948/;Апрелевка;sale;flat;12;13;2;71.28;14475036;2025;-1;-1;-1;Чистовая;30,2 м²;16,2 м²;+79681895503;Василеостровский;бульвар Александра Грина;;Приморская;Аквилон ZALIVE
Insiders;real_estate_agent;https://spb.cian.ru/sale/flat/308901403/;Апрелевка;sale;flat;17;25;2;63.6;14500000;2006;-1;-1;-1;-1;30 м²;14 м²;+79110916282;Приморский;проспект Королева;21к1;Комендантский проспект;
