author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Homeapp;real_estate_agent;https://odintsovo.cian.ru/sale/flat/308305656/;Апрелевка;sale;flat;14;25;2;49.8;10990000;2018;-1;-1;-1;-1;23 м²;14,7 м²;+79857048937;; Каштановая;6;Внуково;Одинцово-1
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/308105327/;Апрелевка;sale;flat;3;17;2;54.8;11000000;2016;-1;-1;-1;-1;-1;12 м²;+79660480318;; 1-я Нововатутинская;1;Кедровая;Новые Ватутинки, мкр. Центральный
Славянский;developer;https://krym.cian.ru/sale/flat/294250594/;Апрелевка;sale;flat;1;8;2;63.1;11105600;2023;-1;-1;-1;Предчистовая;-1;-1;+78632251842;Восход пгт; Авроры;77;;Комплекс апартаментов Аврора
Рекон-Крым-Строй;developer;https://krym.cian.ru/sale/flat/282960224/;Апрелевка;sale;flat;11;13;2;63.66;17000000;2022;-1;Кирпичный;-1;Черновая;-1;-1;+78633035108;Ялта; Красноармейская;36Бк1;;Зенит
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/307886380/;Апрелевка;sale;flat;10;26;2;51.0;18000000;2020;-1;-1;-1;-1;-1;10 м²;+79645643984;Войковский;Выборгская ;9/1;Водный стадион;Невский
