author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Ташир;developer;https://www.cian.ru/sale/flat/302722377/;Апрелевка;sale;flat;3;16;2;47.4;22190784;2024;-1;Монолитный;-1;Без отделки, черновая, чистовая с мебелью;42,4 м²;-1;+74951478662;Даниловский;Малая Тульская ;2;Тульская;DECO RESIDENCE (Апартаменты премиум-класса)
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306787848/;Апрелевка;sale;flat;9;15;2;62.9;35500000;2022;-1;-1;-1;-1;31,3 м²;15,4 м²;+79660623833;Раменки;Винницкая ;8к4;Раменки;Настоящее
ЭНКО;developer;https://tyumen.cian.ru/sale/flat/306532922/;Апрелевка;sale;flat;19;24;2;51.54;6650000;2024;-1;Монолитно-кирпичный, монолитный, кирпичный;-1;Предчистовая;24,5 м²;15,6 м²;+73452658422;;;;;Жилой район 
ЮГ;representative_developer;https://anapa.cian.ru/sale/flat/297912959/;Апрелевка;sale;flat;6;7;2;68.92;24345919;2023;-1;Монолитный;-1;Чистовая, чистовая с мебелью;35,4 м²;-1;+78612690109;Анапа;шоссе Симферопольское;58;;Европа
ZIP Realty;real_estate_agent;https://khimki.cian.ru/sale/flat/308369407/;Апрелевка;sale;flat;2;5;2;42.6;8160000;-1;-1;-1;-1;-1;27 м²;6 м²;+79856120994;; Энгельса;14а;Химки;
