author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
АвиаН-Недвижимость;real_estate_agent;https://balashikha.cian.ru/sale/flat/304765443/;Балашиха;sale;flat;4;5;2;42.0;6300000;1967;-1;-1;-1;-1;-1;6 м²;+79031291054;; Терешковой;17;Салтыковская;
Региональное;real_estate_agent;https://balashikha.cian.ru/sale/flat/272855568/;Балашиха;sale;flat;10;10;2;50.5;6300000;-1;-1;-1;-1;-1;29,8 м²;9 м²;+79660640944;; Свердлова;47;Щёлковская;
ОГРК;real_estate_agent;https://balashikha.cian.ru/sale/flat/303479596/;Балашиха;sale;flat;2;5;2;43.4;6600000;1968;-1;-1;-1;-1;26,4 м²;5,4 м²;+79672089940;; Юбилейная;11к2;Железнодорожная;
