author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
ОГРК;real_estate_agent;https://balashikha.cian.ru/sale/flat/305769082/;Балашиха;sale;flat;12;17;1;37.0;6599999;2013;-1;-1;-1;-1;18,9 м²;9 м²;+79672089940;; Струве;3;Железнодорожная;Центр-2
ОГРК;real_estate_agent;https://balashikha.cian.ru/sale/flat/308628512/;Балашиха;sale;flat;10;17;1;32.0;6550000;2020;-1;-1;-1;-1;15 м²;9,5 м²;+79672089940;;бульвар Спасский;1;Железнодорожная;Столичный
ОГРК;real_estate_agent;https://balashikha.cian.ru/sale/flat/308355223/;Балашиха;sale;flat;1;17;1;40.1;6550000;2014;-1;-1;-1;-1;17,8 м²;11,5 м²;+79672089940;; Троицкая;1;Ольгино;Новое Павлино
