author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Этажи Краснодар;real_estate_agent;https://krasnodar.cian.ru/sale/flat/307757525/;Апрелевка;sale;flat;9;25;1;41.1;5500000;2020;-1;-1;-1;-1;-1;16,5 м²;+79628758054;мкр. Пашковский; Бородинская;156/2;;Время
Этажи Краснодар;real_estate_agent;https://krasnodar.cian.ru/sale/flat/307757514/;Апрелевка;sale;flat;14;16;1;33.8;5500000;2015;-1;-1;-1;-1;-1;12 м²;+79181230392;Имени Петра Метальникова мкр; Петра Метальникова;7;;
