author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Дипломат;developer;https://krym.cian.ru/sale/flat/292124957/;Апрелевка;sale;flat;2;5;1;65.7;24860880;2015;-1;-1;-1;Чистовая;46,9 м²;-1;+78632098730;;;;;Резиденция Дипломат
ID 85604823;unknown;https://www.cian.ru/sale/flat/305768574/;Апрелевка;sale;flat;6;42;1;42.0;29000000;2023;-1;-1;-1;-1;15 м²;12 м²;+79647714670;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308789447/;Апрелевка;sale;flat;11;12;1;33.5;8000000;1972;-1;-1;-1;-1;17 м²;7 м²;+79163568699;Чертаново Южное;3-й Дорожный проезд;6К1;Улица Академика Янгеля;
